iter	Logloss
0	0.6715819901
1	0.6506254098
2	0.6354887446
3	0.6210949917
4	0.60339366
5	0.5911103893
6	0.5796010648
7	0.5683319443
8	0.5558187298
9	0.5464269521
10	0.5355217934
11	0.5240389183
12	0.5114486055
13	0.5014159558
14	0.4929433701
15	0.4841595506
16	0.4761281561
17	0.4695435572
18	0.4619733894
19	0.4580213283
20	0.4548356821
21	0.4492085552
22	0.4428434633
23	0.437601823
24	0.4332745071
25	0.4275303629
26	0.4246417448
27	0.4192724529
28	0.4145522559
29	0.4083691268
30	0.4043027561
31	0.4028410085
32	0.3992745147
33	0.3956564695
34	0.3927014297
35	0.3892883766
36	0.3851010485
37	0.381644774
38	0.3770744131
39	0.3749823802
40	0.3724533828
41	0.3700219578
42	0.3684241392
43	0.3668987531
44	0.3646235629
45	0.3623147784
46	0.3593660648
47	0.3566203581
48	0.3552087921
49	0.351816399
50	0.3507043866
51	0.3481219732
52	0.3473424127
53	0.344632321
54	0.3437803989
55	0.3420733222
56	0.3404819781
57	0.3391157696
58	0.3384566409
59	0.3371428313
60	0.3352056337
61	0.330890465
62	0.3302770817
63	0.3279602925
64	0.3251217118
65	0.3240148673
66	0.3234741261
67	0.3213825402
68	0.3193754157
69	0.3187668962
70	0.317822237
71	0.317306706
72	0.3151014578
73	0.3142853
74	0.3138157667
75	0.3125442949
76	0.3121125867
77	0.3101879567
78	0.3096214635
79	0.3074887661
80	0.3066218971
81	0.3042836143
82	0.3033496122
83	0.3023879424
84	0.3019385426
85	0.3008376736
86	0.2995409096
87	0.2991030911
88	0.2987806905
89	0.2978885421
90	0.2975396876
91	0.2959436532
92	0.2944166373
93	0.2934379657
94	0.2930858909
95	0.2927446759
96	0.2918117836
97	0.2907468598
98	0.290128693
99	0.2897093256
100	0.2891157609
101	0.2888065069
102	0.2877704288
103	0.2873669979
104	0.286781996
105	0.286064326
106	0.2857701605
107	0.2855975885
108	0.2852455898
109	0.2849901419
110	0.2843247614
111	0.2840569009
112	0.2838241413
113	0.2835795432
114	0.2832986758
115	0.2825781201
116	0.28229239
117	0.2820391493
118	0.2815894037
119	0.2813205312
120	0.2804825509
121	0.2799669125
122	0.279695479
123	0.2794103298
124	0.2792033931
125	0.2789023262
126	0.2786054197
127	0.278280703
128	0.2780384663
129	0.2777913727
130	0.2775384204
131	0.2770022134
132	0.2763564894
133	0.276117479
134	0.2759609764
135	0.2757341485
136	0.2755559417
137	0.275391958
138	0.275121738
139	0.2745895214
140	0.2743330365
141	0.2736222787
142	0.2733717053
143	0.2728602622
144	0.2726391142
145	0.2719870554
146	0.2718284814
147	0.271633922
148	0.2713920253
149	0.2712101113
150	0.2709280064
151	0.2707034949
152	0.2704911813
153	0.2703139638
154	0.2697336906
155	0.2695015821
156	0.2692960449
157	0.269033491
158	0.2688505918
159	0.2683784684
160	0.2681539363
161	0.2679434468
162	0.2677977031
163	0.2675534076
164	0.2669490808
165	0.26679041
166	0.2661953082
167	0.2660018567
168	0.2658211532
169	0.2656085478
170	0.2653420262
171	0.2649179505
172	0.2647208017
173	0.2645314886
174	0.2643361674
175	0.2641310858
176	0.2638567609
177	0.2636897788
178	0.2634310262
179	0.2632814631
180	0.2631043455
181	0.2629081938
182	0.2626562906
183	0.2624303592
184	0.262027925
185	0.2617956428
186	0.2615545979
187	0.2612005113
