iter	Passed	Remaining
303	5879	13461
304	5895	13433
305	5910	13405
306	5925	13376
307	5940	13347
308	5956	13321
309	5972	13294
310	5988	13266
311	6004	13240
312	6021	13216
313	6037	13191
314	6054	13165
315	6070	13139
316	6086	13113
317	6102	13087
318	6117	13060
319	6132	13032
320	6147	13003
321	6162	12974
322	6176	12946
323	6191	12918
324	6207	12892
325	6222	12864
326	6237	12837
327	6254	12813
328	6269	12786
329	6284	12760
330	6300	12735
331	6317	12710
332	6333	12686
333	6350	12662
334	6367	12639
335	6384	12617
336	6402	12595
337	6418	12571
338	6434	12546
339	6450	12522
340	6466	12496
341	6482	12471
342	6499	12448
343	6515	12424
344	6531	12399
345	6547	12376
346	6564	12354
347	6581	12329
348	6598	12308
349	6613	12282
350	6629	12257
351	6646	12235
352	6661	12209
353	6676	12184
354	6691	12157
355	6705	12130
356	6720	12105
357	6735	12078
358	6751	12054
359	6767	12030
360	6783	12006
361	6798	11982
362	6813	11956
363	6829	11932
364	6845	11909
365	6861	11885
366	6876	11860
367	6891	11835
368	6905	11808
369	6920	11784
370	6935	11759
371	6951	11734
372	6966	11709
373	6980	11684
374	6996	11660
375	7016	11644
376	7032	11621
377	7049	11599
378	7064	11575
379	7079	11551
380	7095	11527
381	7110	11503
382	7126	11480
383	7142	11457
384	7158	11434
385	7172	11409
386	7187	11384
387	7202	11360
388	7217	11336
389	7232	11312
390	7249	11290
391	7264	11267
392	7279	11243
393	7295	11220
394	7310	11196
395	7325	11173
396	7341	11150
397	7357	11128
398	7372	11105
399	7388	11082
400	7404	11060
401	7419	11036
402	7435	11014
403	7450	10991
404	7464	10967
405	7479	10943
406	7494	10919
407	7509	10896
408	7524	10873
409	7540	10851
410	7555	10827
411	7571	10806
412	7588	10785
413	7604	10763
414	7620	10741
415	7636	10720
416	7652	10698
417	7667	10676
418	7682	10652
419	7696	10628
420	7712	10606
421	7728	10585
422	7743	10562
423	7759	10541
424	7774	10518
425	7790	10496
426	7805	10474
427	7820	10452
428	7838	10432
429	7854	10411
430	7870	10390
431	7886	10369
432	7901	10346
433	7917	10325
434	7933	10304
435	7949	10283
436	7967	10264
437	7983	10244
438	7999	10223
439	8017	10204
440	8033	10183
441	8050	10162
442	8066	10142
443	8082	10120
444	8097	10099
445	8112	10076
446	8127	10054
447	8142	10032
448	8157	10010
449	8172	9988
450	8188	9967
451	8204	9946
452	8221	9927
453	8239	9908
454	8255	9888
455	8271	9867
456	8287	9846
457	8303	9826
458	8319	9806
459	8335	9784
460	8350	9762
461	8365	9741
462	8381	9721
463	8398	9701
464	8415	9682
465	8432	9663
466	8450	9644
467	8468	9626
468	8483	9605
469	8499	9584
470	8514	9563
471	8530	9543
472	8546	9522
473	8563	9502
474	8579	9482
475	8594	9461
476	8611	9441
477	8627	9421
478	8644	9402
479	8660	9382
480	8676	9362
481	8692	9341
482	8707	9320
483	8722	9298
484	8736	9277
485	8752	9256
486	8767	9235
487	8783	9215
488	8800	9196
489	8817	9177
490	8837	9161
491	8854	9142
492	8871	9123
493	8888	9104
494	8906	9086
495	8923	9067
496	8940	9047
497	8958	9029
498	8975	9011
499	8993	8993
500	9010	8974
501	9026	8954
502	9043	8935
503	9060	8916
504	9076	8897
505	9093	8877
506	9109	8858
507	9127	8840
508	9145	8821
509	9162	8803
510	9178	8783
511	9195	8764
512	9212	8745
513	9228	8725
514	9244	8706
515	9259	8685
516	9275	8665
517	9291	8645
518	9306	8625
519	9322	8605
520	9337	8585
521	9353	8565
522	9370	8546
523	9386	8526
524	9402	8507
525	9418	8487
526	9434	8467
527	9450	8448
528	9466	8428
529	9480	8407
530	9495	8386
531	9512	8367
532	9527	8348
533	9543	8328
534	9559	8308
535	9575	8289
536	9591	8269
537	9607	8249
538	9623	8230
539	9639	8211
540	9655	8191
541	9670	8171
542	9685	8151
543	9701	8132
544	9717	8113
545	9733	8093
546	9749	8074
547	9765	8054
548	9781	8035
549	9796	8015
550	9811	7994
551	9826	7974
552	9842	7955
553	9857	7936
554	9873	7916
555	9888	7896
556	9904	7877
557	9919	7857
558	9935	7838
559	9951	7818
560	9967	7799
561	9983	7781
562	9999	7761
563	10015	7742
564	10031	7723
565	10047	7704
566	10063	7685
567	10079	7666
568	10096	7647
569	10113	7629
570	10135	7614
571	10151	7595
572	10167	7576
573	10182	7557
574	10201	7539
575	10221	7524
576	10246	7512
577	10269	7498
578	10358	7532
579	10421	7546
580	10457	7541
581	10475	7523
582	10493	7505
583	10510	7486
584	10526	7467
585	10543	7448
586	10560	7429
587	10577	7411
588	10593	7392
589	10611	7374
590	10627	7354
591	10643	7335
592	10659	7316
593	10675	7296
594	10691	7277
595	10708	7258
596	10725	7239
597	10740	7220
598	10756	7200
599	10771	7180
600	10786	7161
601	10802	7141
602	10819	7123
603	10837	7105
604	10856	7088
605	10880	7074
606	10898	7056
607	10920	7041
608	10942	7025
609	10960	7007
610	10982	6992
611	11001	6974
612	11022	6958
613	11043	6942
614	11076	6934
615	11093	6915
616	11110	6896
617	11128	6878
618	11144	6859
619	11160	6840
620	11176	6820
621	11191	6801
622	11206	6781
623	11221	6761
624	11237	6742
625	11252	6722
626	11268	6703
627	11284	6684
628	11299	6664
629	11314	6644
630	11328	6624
631	11345	6606
632	11359	6586
633	11374	6566
634	11389	6546
635	11403	6526
636	11418	6507
637	11435	6488
638	11452	6469
639	11469	6451
640	11488	6434
641	11505	6416
642	11523	6398
643	11540	6379
644	11556	6360
645	11571	6341
646	11586	6321
647	11600	6301
648	11615	6282
649	11630	6262
650	11651	6246
651	11670	6228
652	11690	6212
653	11709	6194
654	11726	6176
655	11746	6159
656	11766	6142
657	11781	6123
658	11797	6104
659	11813	6085
660	11831	6067
661	11849	6050
662	11866	6031
663	11882	6013
664	11898	5994
665	11916	5976
666	11934	5958
667	11950	5939
668	11965	5920
669	11980	5900
670	11994	5881
671	12009	5861
672	12025	5843
673	12041	5824
674	12056	5804
675	12072	5785
676	12087	5766
677	12101	5747
678	12117	5728
679	12132	5709
680	12148	5690
681	12164	5671
682	12180	5653
683	12198	5635
684	12216	5617
685	12234	5599
686	12252	5582
687	12270	5564
688	12289	5547
689	12308	5529
690	12327	5512
691	12347	5495
692	12366	5478
693	12384	5460
694	12403	5443
695	12421	5425
696	12444	5409
697	12466	5393
698	12489	5378
699	12514	5363
700	12533	5345
701	12554	5329
702	12574	5312
703	12593	5294
704	12617	5279
705	12635	5261
706	12655	5244
707	12676	5228
708	12695	5210
709	12712	5192
710	12728	5173
711	12745	5155
712	12765	5138
713	12781	5119
714	12797	5101
715	12833	5090
716	12849	5071
717	12864	5052
718	12880	5034
719	12895	5014
720	12912	4996
721	12929	4978
722	12946	4960
723	12963	4941
724	12978	4922
725	12994	4904
726	13009	4885
727	13024	4866
728	13040	4847
729	13055	4828
730	13069	4809
731	13086	4791
732	13102	4772
733	13117	4753
734	13133	4735
735	13148	4716
736	13165	4698
737	13180	4679
738	13196	4660
739	13214	4643
740	13229	4624
741	13244	4605
742	13259	4586
743	13274	4567
744	13290	4549
745	13306	4530
746	13321	4511
747	13337	4493
748	13353	4475
749	13370	4456
750	13386	4438
751	13401	4419
752	13416	4400
753	13430	4381
754	13446	4363
755	13461	4344
756	13476	4326
757	13492	4307
758	13506	4288
759	13522	4270
760	13539	4252
761	13555	4233
762	13571	4215
763	13587	4197
764	13605	4179
765	13623	4161
766	13640	4143
767	13657	4125
768	13674	4107
769	13691	4089
770	13708	4071
771	13723	4053
772	13738	4034
773	13755	4016
774	13770	3997
775	13786	3979
776	13802	3961
777	13817	3942
778	13833	3924
779	13850	3906
780	13867	3888
781	13885	3871
782	13902	3852
783	13919	3834
784	13935	3816
785	13950	3798
786	13966	3779
787	13981	3761
788	13997	3743
789	14011	3724
790	14027	3706
791	14043	3688
792	14059	3670
793	14075	3651
794	14090	3633
795	14106	3615
796	14123	3597
797	14140	3579
798	14156	3561
799	14172	3543
800	14188	3524
801	14204	3506
802	14219	3488
803	14235	3470
804	14251	3452
805	14270	3434
806	14291	3417
807	14309	3400
808	14326	3382
809	14341	3364
810	14358	3346
811	14383	3330
812	14402	3312
813	14418	3294
814	14435	3276
815	14451	3258
816	14467	3240
817	14483	3222
818	14499	3204
819	14514	3186
820	14530	3167
821	14544	3149
822	14560	3131
823	14576	3113
824	14592	3095
825	14608	3077
826	14624	3059
827	14639	3041
828	14654	3022
829	14669	3004
830	14685	2986
831	14701	2968
832	14716	2950
833	14732	2932
834	14748	2914
835	14765	2896
836	14780	2878
837	14795	2860
838	14810	2842
839	14825	2823
840	14841	2805
841	14857	2787
842	14872	2769
843	14888	2751
844	14903	2733
845	14920	2716
846	14939	2698
847	14957	2681
848	14975	2663
849	14993	2645
850	15010	2628
851	15026	2610
852	15041	2592
853	15056	2574
854	15071	2555
855	15086	2537
856	15101	2519
857	15117	2501
858	15132	2483
859	15148	2466
860	15163	2448
861	15180	2430
862	15196	2412
863	15212	2394
864	15228	2376
865	15245	2358
866	15262	2341
867	15277	2323
868	15292	2305
869	15308	2287
870	15323	2269
871	15338	2251
872	15353	2233
873	15367	2215
874	15381	2197
875	15397	2179
876	15413	2161
877	15428	2143
878	15443	2125
879	15458	2108
880	15474	2090
881	15490	2072
882	15507	2054
883	15522	2036
884	15540	2019
885	15560	2002
886	15579	1984
887	15599	1967
888	15615	1949
889	15635	1932
890	15652	1914
891	15672	1897
892	15690	1880
893	15706	1862
894	15722	1844
895	15737	1826
896	15753	1808
897	15768	1791
898	15783	1773
899	15798	1755
900	15812	1737
901	15827	1719
902	15843	1701
903	15858	1684
904	15874	1666
905	15894	1649
906	15912	1631
907	15930	1614
908	15951	1596
909	15972	1579
910	15993	1562
911	16014	1545
912	16034	1527
913	16053	1510
914	16071	1492
915	16089	1475
916	16108	1457
917	16126	1440
918	16146	1423
919	16165	1405
920	16182	1388
921	16200	1370
922	16216	1352
923	16232	1335
924	16248	1317
925	16263	1299
926	16278	1281
927	16294	1264
928	16309	1246
929	16325	1228
930	16340	1211
931	16358	1193
932	16377	1176
933	16400	1158
934	16419	1141
935	16437	1123
936	16456	1106
937	16473	1088
938	16491	1071
939	16508	1053
940	16527	1036
941	16545	1018
942	16562	1001
943	16578	983
944	16593	965
945	16609	948
946	16624	930
947	16640	912
948	16656	895
949	16673	877
950	16689	859
951	16705	842
952	16723	824
953	16740	807
954	16757	789
955	16772	771
956	16788	754
957	16804	736
958	16819	719
959	16839	701
960	16854	684
961	16869	666
962	16885	648
963	16899	631
964	16914	613
965	16929	595
966	16945	578
967	16960	560
968	16976	543
969	16992	525
970	17007	507
971	17022	490
972	17037	472
973	17051	455
974	17067	437
975	17082	420
976	17099	402
977	17115	385
978	17131	367
979	17147	349
980	17161	332
981	17177	314
982	17192	297
983	17209	279
984	17225	262
985	17240	244
986	17256	227
987	17273	209
988	17294	192
989	17311	174
990	17328	157
991	17343	139
992	17359	122
993	17375	104
994	17392	87
995	17407	69
996	17423	52
997	17438	34
998	17454	17
999	17469	0
